PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,6651 kingsbury,,,,,,,,,
Location:,"Lat, Lon: 34.57, -112.5",,,,,,,,,
Lat (deg N):,34.57,,,,,,,,,
Long (deg W):,112.5,,,,,,,,,
Elev (m):,1688.300049,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.12,,,,,,,,,
Capacity Factor (%),"19.5	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,15,3,0,0,0,1,0,0,0,0
1,15,4,0,0,0,1,0,0,0,0
1,15,5,0,0,-1,1,0,-1,0,0
1,15,6,0,0,-1,0,0,-1,0,0
1,15,7,0,0,0,0,0,0,0,0
1,15,8,476,46,1,1,220.651,5.805,738.024,701.812
1,15,9,690,74,3,2,459.088,14.457,1594.837,1533.925
1,15,10,757,89,4,3,625.743,18.717,2185.158,2103.258
1,15,11,560,187,3,4,660.064,17.36,2339.759,2251.827
1,15,12,8,179,3,4,182.955,6.866,682.266,647.425
1,15,13,0,110,4,4,105.544,5.082,396.692,368.419
1,15,14,0,43,5,4,40.808,4.464,153.787,130.503
1,15,15,0,69,5,3,65.541,4.851,246.582,221.457
1,15,16,0,35,3,2,33.187,1.961,126.408,103.653
1,15,17,233,13,0,1,73.268,-0.096,226.363,201.646
1,15,18,0,0,0,1,0,0,0,0
1,15,19,0,0,-1,1,0,-1,0,0
1,15,20,0,0,-2,1,0,-2,0,0
1,15,21,0,0,-2,1,0,-2,0,0
1,15,22,0,0,-2,1,0,-2,0,0
1,15,23,0,0,-2,1,0,-2,0,0
1,16,0,0,0,-2,1,0,-2,0,0
1,16,1,0,0,-2,1,0,-2,0,0
1,16,2,0,0,-2,1,0,-2,0,0
1,16,3,0,0,-2,1,0,-2,0,0
1,16,4,0,0,-2,1,0,-2,0,0
1,16,5,0,0,-2,1,0,-2,0,0
1,16,6,0,0,-2,1,0,-2,0,0
1,16,7,0,0,-1,1,0,-1,0,0
1,16,8,651,36,1,2,265.43,6.318,871.28,831.674
1,16,9,853,56,5,2,522.002,18.269,1776.657,1709.627
1,16,10,936,69,7,2,719.875,26.292,2424.755,2333.413
1,16,11,803,105,8,2,757.664,28.864,2542.951,2446.754
1,16,12,732,141,9,2,778.517,30.473,2598.425,2499.905
1,16,13,928,98,8,1,866.24,36.227,2807.366,2699.839
1,16,14,707,114,7,1,653.184,29.554,2177.403,2095.801
1,16,15,11,132,5,0,137.927,14.922,495.742,465.277
1,16,16,0,69,3,0,68.362,4.494,257.589,232.241
1,16,17,0,7,2,0,6.62,-1.26,25.561,4.691
1,16,18,0,0,2,1,0,2,0,0
1,16,19,0,0,1,1,0,1,0,0
1,16,20,0,0,0,1,0,0,0,0
1,16,21,0,0,0,1,0,0,0,0
1,16,22,0,0,0,1,0,0,0,0
1,16,23,0,0,0,1,0,0,0,0
1,17,0,0,0,0,1,0,0,0,0
1,17,1,0,0,1,1,0,1,0,0
1,17,2,0,0,0,1,0,0,0,0
1,17,3,0,0,0,1,0,0,0,0
1,17,4,0,0,0,1,0,0,0,0
1,17,5,0,0,0,1,0,0,0,0
1,17,6,0,0,-1,1,0,-1,0,0
1,17,7,0,0,0,1,0,0,0,0
1,17,8,716,35,3,1,285.898,9.982,920.954,880.041
1,17,9,902,55,7,2,543.916,20.876,1828.338,1759.511
1,17,10,980,69,10,2,750.589,30.035,2483.564,2389.823
1,17,11,1019,76,12,2,887.566,36.066,2875.172,2764.634
1,17,12,1033,77,13,2,942.517,38.798,3018.078,2901.056
1,17,13,1025,75,14,2,912.879,39.169,2914.977,2802.653
1,17,14,991,71,13,2,801.173,35.338,2593.695,2495.374
1,17,15,927,60,11,1,616.769,31.96,1993.67,1918.933
1,17,16,785,43,8,0,374.271,25.777,1174.277,1126.342
1,17,17,345,13,6,1,97.904,8.813,283.593,257.712
1,17,18,0,0,4,1,0,4,0,0
1,17,19,0,0,2,1,0,2,0,0
1,17,20,0,0,0,1,0,0,0,0
1,17,21,0,0,0,1,0,0,0,0
1,17,22,0,0,0,1,0,0,0,0
1,17,23,0,0,0,1,0,0,0,0
1,18,0,0,0,1,1,0,1,0,0
1,18,1,0,0,2,1,0,2,0,0
1,18,2,0,0,2,1,0,2,0,0
1,18,3,0,0,3,0,0,3,0,0
1,18,4,0,0,3,0,0,3,0,0
1,18,5,0,0,3,0,0,3,0,0
1,18,6,0,0,3,1,0,3,0,0
1,18,7,0,0,3,1,0,3,0,0
1,18,8,360,52,4,0,187.778,8.933,627.974,594.439
1,18,9,479,105,6,0,380.93,20.636,1295.107,1243.612
1,18,10,636,121,8,1,584.975,26.251,1975.656,1901.576
1,18,11,6,168,11,2,169.966,15.755,609.415,576.321
1,18,12,460,229,13,3,651.567,27.385,2209.085,2126.266
1,18,13,563,187,12,3,677.574,28.22,2285.805,2200.004
1,18,14,460,185,11,2,553.717,26.326,1878.779,1808.176
1,18,15,361,143,9,1,376.126,21.661,1290.084,1238.739
1,18,16,312,78,6,0,224.308,16.509,757.537,720.839
1,18,17,0,17,4,0,16.116,4.544,60.711,39.194
1,18,18,0,0,3,0,0,3,0,0
1,18,19,0,0,3,0,0,3,0,0
1,18,20,0,0,2,1,0,2,0,0
1,18,21,0,0,1,1,0,1,0,0
1,18,22,0,0,0,1,0,0,0,0
1,18,23,0,0,0,1,0,0,0,0
1,19,0,0,0,0,1,0,0,0,0
1,19,1,0,0,0,1,0,0,0,0
1,19,2,0,0,-1,1,0,-1,0,0
1,19,3,0,0,-1,1,0,-1,0,0
1,19,4,0,0,-1,1,0,-1,0,0
1,19,5,0,0,0,1,0,0,0,0
1,19,6,0,0,0,1,0,0,0,0
1,19,7,0,0,0,1,0,0,0,0
1,19,8,383,49,4,2,193.026,7.273,647.872,613.862
1,19,9,493,101,7,2,383.97,16.248,1331.087,1278.506
1,19,10,651,118,9,1,592.583,27.448,1989.967,1915.365
1,19,11,579,174,11,0,663.272,37.894,2132.333,2052.444
1,19,12,493,218,12,1,667.435,33.777,2194.011,2111.772
